conversation_id,tweet_id,text,clean_text,intent,labeler_notes
1710155,1710155,Today we're celebrating Alexa's 3rd birthday. 🎂 🎁🎈 #HBDAlexa https://t.co/dD0mE0be1D,Today we're celebrating Alexa's 3rd birthday. 🎂 🎁🎈 #HBDAlexa,other_non_support,
1494253,1494256,@AmazonHelp 3/11/17 One day delivery selected. Up to a hour ago it was coming today. Now tomorrow. Not happy as it’s a new release. All will be playing,3/11/17 One day delivery selected. Up to a hour ago it was coming today. Now tomorrow. Not happy as it’s a new release. All will be playing,delivery_issue,
2779195,2779194,"@AmazonHelp Thanks! There is an option for a refund yes, but the price has gone up so I'll be out of pocket - we've missed the offer on the product now through no fault of our own :(","Thanks! There is an option for a refund yes, but the price has gone up so I'll be out of pocket - we've missed the offer on the product now through no fault of our own :(",returns_refunds,
929593,929592,@AmazonHelp Received this yesterday but no clue about free installation as who will do it and when. Please guide on urgent basis. https://t.co/GJJYeXvEBX,Received this yesterday but no clue about free installation as who will do it and when. Please guide on urgent basis.,product_information,
2923575,2923574,"@AmazonHelp not really, it just says ""We're sorry your package is late. We don't have a new delivery date from USPS, but we recommend waiting as it'll usually arrive within a few days"" and the delivery date is now 28~dec 1","not really, it just says ""We're sorry your package is late. We don't have a new delivery date from USPS, but we recommend waiting as it'll usually arrive within a few days"" and the delivery date is now 28~dec 1",delivery_issue,
288655,288655,"@116875 después de 35 minutos me dicen que lo único que pueden hacer es re programarlo para mañana y ya, con una nota al repartidor","después de 35 minutos me dicen que lo único que pueden hacer es re programarlo para mañana y ya, con una nota al repartidor",delivery_issue,
1497741,1497739,@AmazonHelp It's the Xbox One Controller - Minecraft Creeper. I thought maybe it was out of stock or something but it says that it's in.,It's the Xbox One Controller - Minecraft Creeper. I thought maybe it was out of stock or something but it says that it's in.,product_information,
1777687,1777687,@115850 seems they have got a huge population of prime members in india and now they don't want more customers in india https://t.co/Cngg7ux6Kr,seems they have got a huge population of prime members in india and now they don't want more customers in india,prime_subscription,
619128,619126,@AmazonHelp i’m not sure how i get a pickup code?,i’m not sure how i get a pickup code?,returns_refunds,
1665713,1665713,@AmazonHelp Road to the Games is no where to be seen on any apps apart from the websote portal. https://t.co/rGP0Z2q6jO,Road to the Games is no where to be seen on any apps apart from the websote portal.,product_technical,
2463147,2463147,Die neue @116316 Werbung ist so schön *_* wieso singt mir mein Paket nichts vor? 🤔 ich hätte glatt mitgesungen 😂,Die neue Werbung ist so schön *_* wieso singt mir mein Paket nichts vor? 🤔 ich hätte glatt mitgesungen 😂,other_non_support,
1255688,1255673,@AmazonHelp While checkout it give an error of schedule delivery is not possible and I can't find any other option to change the schedule,While checkout it give an error of schedule delivery is not possible and I can't find any other option to change the schedule,order_management,
1216236,1216236,@AmazonHelp ORDER # 408-2880201-2425928. Need urgent support on this. It shows 27-Nov delivery date. Need this within a week. Plz do needful,ORDER # 408- - . Need urgent support on this. It shows 27-Nov delivery date. Need this within a week. Plz do needful,delivery_issue,
1190313,1190313,@AmazonHelp recived my last order from Amazon.in now I am going to delete the account in few daya,recived my last order from Amazon.in now I am going to delete the account in few daya,support_escalation,
1261225,1261225,"@120533 cde 404-6580554-7349142 livraison décalé sans explication, un service client qui raccroche au nez. Merci de trouver une solution","cde 404- - livraison décalé sans explication, un service client qui raccroche au nez. Merci de trouver une solution",support_escalation,
833927,833926,@AmazonHelp Well the website didn’t say anything at the time. Yes I’ve been constantly given another date since 10th when it was meant to arrive.,Well the website didn’t say anything at the time. Yes I’ve been constantly given another date since 10th when it was meant to arrive.,delivery_issue,
2621098,2621098,Great first start with #Alexa @AmazonHelp https://t.co/3gPKcVHJK2,Great first start with #Alexa,other_non_support,
965282,965282,@115850 I received damage product and missing free glass cleaner order no. 403-5639606-7006729,I received damage product and missing free glass cleaner order no. 403- -,delivery_issue,
2964054,2964063,@AmazonHelp How has this not already been escalated?? I started talking with customer service over 10 hours ago!!,How has this not already been escalated?? I started talking with customer service over 10 hours ago!!,support_escalation,
